freq (Hz)	real	complex
0.000000E+0	5.184924E-3	0.000000E+0
1.000000E+0	2.123446E-3	0.000000E+0
2.000000E+0	7.250816E-3	0.000000E+0
3.000000E+0	1.898217E-4	0.000000E+0
4.000000E+0	7.511444E-3	0.000000E+0
5.000000E+0	1.270608E-3	0.000000E+0
6.000000E+0	7.045045E-3	0.000000E+0
7.000000E+0	2.705702E-3	0.000000E+0
8.000000E+0	5.400569E-3	0.000000E+0
9.000000E+0	5.804193E-3	0.000000E+0
1.000000E+1	2.455101E-3	0.000000E+0
1.100000E+1	5.981115E-3	0.000000E+0
1.200000E+1	3.260748E-3	0.000000E+0
1.300000E+1	5.246318E-3	0.000000E+0
1.400000E+1	7.428987E-3	0.000000E+0
1.500000E+1	2.500623E-3	0.000000E+0
1.600000E+1	9.876980E-3	0.000000E+0
1.700000E+1	4.012550E-3	0.000000E+0
1.800000E+1	9.081600E-3	0.000000E+0
1.900000E+1	1.178413E-2	0.000000E+0
2.000000E+1	1.110305E-2	0.000000E+0
2.100000E+1	9.172514E-3	0.000000E+0
2.200000E+1	4.093849E-3	0.000000E+0
2.300000E+1	9.129414E-3	0.000000E+0
2.400000E+1	1.674708E-2	0.000000E+0
2.500000E+1	1.452807E-2	0.000000E+0
2.600000E+1	2.202973E-2	0.000000E+0
2.700000E+1	2.113031E-2	0.000000E+0
2.800000E+1	3.474455E-2	0.000000E+0
2.900000E+1	4.604572E-2	0.000000E+0
3.000000E+1	6.563408E-2	0.000000E+0
3.100000E+1	1.359595E-1	0.000000E+0
3.200000E+1	1.261859E-1	0.000000E+0
3.300000E+1	5.799754E-2	0.000000E+0
3.400000E+1	4.494584E-2	0.000000E+0
3.500000E+1	3.779273E-2	0.000000E+0
3.600000E+1	2.612841E-2	0.000000E+0
3.700000E+1	2.988561E-2	0.000000E+0
3.800000E+1	2.151856E-2	0.000000E+0
3.900000E+1	2.097364E-2	0.000000E+0
4.000000E+1	2.235674E-2	0.000000E+0
4.100000E+1	1.433563E-2	0.000000E+0
4.200000E+1	2.054556E-2	0.000000E+0
4.300000E+1	1.403927E-2	0.000000E+0
4.400000E+1	1.516353E-2	0.000000E+0
4.500000E+1	1.770850E-2	0.000000E+0
4.600000E+1	9.412901E-3	0.000000E+0
4.700000E+1	1.774010E-2	0.000000E+0
4.800000E+1	1.082290E-2	0.000000E+0
4.900000E+1	1.314411E-2	0.000000E+0
5.000000E+1	1.544809E-2	0.000000E+0
5.100000E+1	6.599008E-3	0.000000E+0
5.200000E+1	1.703066E-2	0.000000E+0
5.300000E+1	7.752715E-3	0.000000E+0
5.400000E+1	1.431473E-2	0.000000E+0
5.500000E+1	1.459613E-2	0.000000E+0
5.600000E+1	8.658205E-3	0.000000E+0
5.700000E+1	2.158566E-2	0.000000E+0
5.800000E+1	3.740848E-3	0.000000E+0
5.900000E+1	5.124674E-2	0.000000E+0
6.000000E+1	8.006594E-2	0.000000E+0
6.100000E+1	4.718155E-2	0.000000E+0
6.200000E+1	1.238502E-2	0.000000E+0
6.300000E+1	1.722163E-2	0.000000E+0
6.400000E+1	1.268823E-2	0.000000E+0
6.500000E+1	1.119861E-2	0.000000E+0
6.600000E+1	1.148370E-2	0.000000E+0
6.700000E+1	9.927674E-3	0.000000E+0
6.800000E+1	1.040596E-2	0.000000E+0
6.900000E+1	8.863562E-3	0.000000E+0
7.000000E+1	1.050181E-2	0.000000E+0
7.100000E+1	7.672135E-3	0.000000E+0
7.200000E+1	1.074583E-2	0.000000E+0
7.300000E+1	8.525464E-3	0.000000E+0
7.400000E+1	8.839134E-3	0.000000E+0
7.500000E+1	1.094494E-2	0.000000E+0
7.600000E+1	6.127187E-3	0.000000E+0
7.700000E+1	1.202447E-2	0.000000E+0
7.800000E+1	7.322614E-3	0.000000E+0
7.900000E+1	1.133375E-2	0.000000E+0
8.000000E+1	1.203296E-2	0.000000E+0
8.100000E+1	8.220075E-3	0.000000E+0
8.200000E+1	1.713476E-2	0.000000E+0
8.300000E+1	8.030849E-3	0.000000E+0
8.400000E+1	2.068340E-2	0.000000E+0
8.500000E+1	1.866227E-2	0.000000E+0
8.600000E+1	3.020851E-2	0.000000E+0
8.700000E+1	4.734805E-2	0.000000E+0
8.800000E+1	1.560194E-1	0.000000E+0
8.900000E+1	2.945634E-1	0.000000E+0
9.000000E+1	2.724096E-1	0.000000E+0
9.100000E+1	7.471639E-2	0.000000E+0
9.200000E+1	5.124257E-2	0.000000E+0
9.300000E+1	1.080423E-2	0.000000E+0
9.400000E+1	2.990524E-2	0.000000E+0
9.500000E+1	1.185171E-2	0.000000E+0
9.600000E+1	1.550290E-2	0.000000E+0
9.700000E+1	1.563434E-2	0.000000E+0
9.800000E+1	6.740335E-3	0.000000E+0
9.900000E+1	1.424041E-2	0.000000E+0
1.000000E+2	6.912394E-3	0.000000E+0
1.010000E+2	9.395237E-3	0.000000E+0
1.020000E+2	1.014838E-2	0.000000E+0
1.030000E+2	4.873989E-3	0.000000E+0
1.040000E+2	9.851161E-3	0.000000E+0
1.050000E+2	5.796556E-3	0.000000E+0
1.060000E+2	6.922897E-3	0.000000E+0
1.070000E+2	7.533695E-3	0.000000E+0
1.080000E+2	3.549908E-3	0.000000E+0
1.090000E+2	7.221471E-3	0.000000E+0
1.100000E+2	4.588948E-3	0.000000E+0
1.110000E+2	4.662105E-3	0.000000E+0
1.120000E+2	6.546831E-3	0.000000E+0
1.130000E+2	2.817917E-3	0.000000E+0
1.140000E+2	5.922998E-3	0.000000E+0
1.150000E+2	4.951962E-3	0.000000E+0
1.160000E+2	3.644242E-3	0.000000E+0
1.170000E+2	6.139789E-3	0.000000E+0
1.180000E+2	3.597642E-3	0.000000E+0
1.190000E+2	6.067557E-3	0.000000E+0
1.200000E+2	9.260352E-3	0.000000E+0
1.210000E+2	3.266258E-3	0.000000E+0
1.220000E+2	8.079958E-3	0.000000E+0
1.230000E+2	4.480890E-3	0.000000E+0
1.240000E+2	6.006688E-3	0.000000E+0
1.250000E+2	4.267403E-3	0.000000E+0
1.260000E+2	1.884882E-3	0.000000E+0
1.270000E+2	6.411106E-3	0.000000E+0
1.280000E+2	6.534764E-3	0.000000E+0
1.290000E+2	6.121777E-3	0.000000E+0
1.300000E+2	9.542302E-3	0.000000E+0
1.310000E+2	6.761708E-3	0.000000E+0
1.320000E+2	1.077142E-2	0.000000E+0
1.330000E+2	1.141437E-2	0.000000E+0
1.340000E+2	1.109447E-2	0.000000E+0
1.350000E+2	1.560782E-2	0.000000E+0
1.360000E+2	1.310880E-2	0.000000E+0
1.370000E+2	1.767989E-2	0.000000E+0
1.380000E+2	1.892712E-2	0.000000E+0
1.390000E+2	1.917974E-2	0.000000E+0
1.400000E+2	2.549336E-2	0.000000E+0
1.410000E+2	2.358157E-2	0.000000E+0
1.420000E+2	3.000141E-2	0.000000E+0
1.430000E+2	3.248441E-2	0.000000E+0
1.440000E+2	3.515682E-2	0.000000E+0
1.450000E+2	4.272925E-2	0.000000E+0
1.460000E+2	4.201612E-2	0.000000E+0
1.470000E+2	5.517443E-2	0.000000E+0
1.480000E+2	6.168460E-2	0.000000E+0
1.490000E+2	7.247053E-2	0.000000E+0
1.500000E+2	9.134420E-2	0.000000E+0
1.510000E+2	1.018604E-1	0.000000E+0
1.520000E+2	1.370077E-1	0.000000E+0
1.530000E+2	1.707711E-1	0.000000E+0
1.540000E+2	2.476567E-1	0.000000E+0
1.550000E+2	3.504300E-1	0.000000E+0
1.560000E+2	4.852661E-1	0.000000E+0
1.570000E+2	3.623514E-1	0.000000E+0
1.580000E+2	1.801863E-1	0.000000E+0
1.590000E+2	1.536085E-1	0.000000E+0
1.600000E+2	1.196655E-1	0.000000E+0
1.610000E+2	1.032231E-1	0.000000E+0
1.620000E+2	9.922713E-2	0.000000E+0
1.630000E+2	8.238951E-2	0.000000E+0
1.640000E+2	8.521504E-2	0.000000E+0
1.650000E+2	7.039424E-2	0.000000E+0
1.660000E+2	7.192826E-2	0.000000E+0
1.670000E+2	6.662823E-2	0.000000E+0
1.680000E+2	5.739141E-2	0.000000E+0
1.690000E+2	6.792318E-2	0.000000E+0
1.700000E+2	5.310302E-2	0.000000E+0
1.710000E+2	6.313586E-2	0.000000E+0
