freq (Hz)	magnitude
0.000000E+0	1.246007E-2
1.000000E+0	2.083829E-2
2.000000E+0	1.917909E-2
3.000000E+0	1.789839E-2
4.000000E+0	2.021945E-2
5.000000E+0	6.367368E-2
6.000000E+0	9.643372E-2
7.000000E+0	4.821254E-2
8.000000E+0	3.490577E-2
9.000000E+0	3.376002E-2
1.000000E+1	2.440973E-2
1.100000E+1	3.269856E-2
1.200000E+1	2.676885E-2
1.300000E+1	2.536090E-2
1.400000E+1	3.295591E-2
1.500000E+1	1.942121E-2
1.600000E+1	3.451727E-2
1.700000E+1	2.559997E-2
1.800000E+1	2.826652E-2
1.900000E+1	3.391066E-2
2.000000E+1	2.477602E-2
2.100000E+1	3.394906E-2
2.200000E+1	2.427363E-2
2.300000E+1	2.536824E-2
2.400000E+1	3.513802E-2
2.500000E+1	2.119424E-2
2.600000E+1	3.579345E-2
2.700000E+1	3.315187E-2
2.800000E+1	4.040209E-2
2.900000E+1	6.433166E-2
3.000000E+1	7.216145E-2
3.100000E+1	1.585302E-1
3.200000E+1	1.418600E-1
3.300000E+1	6.851469E-2
3.400000E+1	5.052122E-2
3.500000E+1	4.113890E-2
3.600000E+1	4.070632E-2
3.700000E+1	3.948838E-2
3.800000E+1	3.526281E-2
3.900000E+1	4.039453E-2
4.000000E+1	2.963674E-2
4.100000E+1	3.965376E-2
4.200000E+1	3.419622E-2
4.300000E+1	3.253733E-2
4.400000E+1	4.348035E-2
4.500000E+1	2.755310E-2
4.600000E+1	4.590213E-2
4.700000E+1	3.576641E-2
4.800000E+1	3.679855E-2
4.900000E+1	5.139548E-2
5.000000E+1	2.696073E-2
5.100000E+1	6.017024E-2
5.200000E+1	4.266032E-2
5.300000E+1	5.049910E-2
5.400000E+1	8.116445E-2
5.500000E+1	2.845525E-2
5.600000E+1	1.200465E-1
5.700000E+1	9.556815E-2
5.800000E+1	1.485368E-1
5.900000E+1	4.572903E-1
6.000000E+1	9.136623E-1
6.100000E+1	4.586287E-1
6.200000E+1	1.483033E-1
6.300000E+1	9.332740E-2
6.400000E+1	1.214427E-1
6.500000E+1	3.613880E-2
6.600000E+1	7.976966E-2
6.700000E+1	6.760447E-2
6.800000E+1	3.719905E-2
6.900000E+1	7.592210E-2
7.000000E+1	4.550285E-2
7.100000E+1	5.415304E-2
7.200000E+1	7.762443E-2
7.300000E+1	2.843780E-2
7.400000E+1	8.389603E-2
7.500000E+1	6.408542E-2
7.600000E+1	5.773748E-2
