freq (Hz)	real	complex
0.000000E+0	9.534410E-3	0.000000E+0
1.000000E+0	-3.473901E-2	1.386017E-2
2.000000E+0	-2.238049E-3	-2.120328E-2
3.000000E+0	-5.420125E-3	3.285187E-2
4.000000E+0	-2.008379E-2	-6.725024E-3
5.000000E+0	1.187519E-1	3.854898E-2
6.000000E+0	2.516761E-2	-1.880664E-1
7.000000E+0	-8.940142E-2	-7.615744E-2
8.000000E+0	-6.157127E-2	-4.244125E-2
9.000000E+0	-6.825394E-2	-3.659612E-2
1.000000E+1	-5.022605E-2	-2.904921E-2
1.100000E+1	-6.582527E-2	-1.661829E-2
1.200000E+1	-4.952474E-2	-3.127789E-2
1.300000E+1	-5.210380E-2	-5.769945E-3
1.400000E+1	-6.075644E-2	-2.668041E-2
1.500000E+1	-3.722835E-2	-1.098077E-2
1.600000E+1	-6.417269E-2	-9.920014E-3
1.700000E+1	-3.725976E-2	-2.278066E-2
1.800000E+1	-4.672745E-2	2.494598E-3
1.900000E+1	-4.822468E-2	-2.687643E-2
2.000000E+1	-3.014311E-2	-1.083654E-2
2.100000E+1	-6.155693E-2	-9.028308E-3
2.200000E+1	-2.751680E-2	-2.180822E-2
2.300000E+1	-3.900082E-2	7.364410E-3
2.400000E+1	-3.782841E-2	-2.929214E-2
2.500000E+1	-8.932490E-3	-2.872261E-3
2.600000E+1	-3.845954E-2	-1.665485E-2
2.700000E+1	1.160668E-2	-3.694584E-2
2.800000E+1	-1.495377E-3	-2.404310E-2
2.900000E+1	-9.949043E-3	-1.004290E-1
3.000000E+1	3.439733E-2	-7.668539E-2
3.100000E+1	-1.172721E-1	-2.361944E-1
3.200000E+1	-2.018196E-1	-3.382385E-2
3.300000E+1	-1.148737E-1	6.827192E-3
3.400000E+1	-1.082370E-1	-1.135852E-2
3.500000E+1	-7.569483E-2	9.484991E-3
3.600000E+1	-9.547567E-2	3.167091E-3
3.700000E+1	-5.966989E-2	-5.927529E-3
3.800000E+1	-7.273047E-2	2.127970E-2
3.900000E+1	-6.618343E-2	-1.672983E-2
4.000000E+1	-4.410111E-2	1.482183E-2
4.100000E+1	-7.689169E-2	-2.320574E-3
4.200000E+1	-3.328036E-2	-9.023752E-3
4.300000E+1	-6.117313E-2	1.790932E-2
4.400000E+1	-5.116704E-2	-2.472738E-2
4.500000E+1	-3.036404E-2	1.609775E-2
4.600000E+1	-6.776386E-2	-1.012303E-2
4.700000E+1	-1.719478E-2	-1.347052E-2
4.800000E+1	-5.613453E-2	1.567969E-2
4.900000E+1	-3.673079E-2	-3.470682E-2
5.000000E+1	-2.009589E-2	1.634125E-2
5.100000E+1	-6.112609E-2	-2.259301E-2
5.200000E+1	2.987559E-4	-1.730667E-2
5.300000E+1	-5.337970E-2	9.307120E-3
5.400000E+1	-1.624395E-2	-5.211671E-2
5.500000E+1	-9.552890E-3	1.733353E-2
5.600000E+1	-4.894707E-2	-5.560397E-2
5.700000E+1	4.124713E-2	-2.818762E-2
5.800000E+1	-6.830179E-2	-3.582177E-2
5.900000E+1	1.144944E-1	-1.860211E-1
